,artist,album,name,time,day,month,year
0, The Cranberries," Everybody Else Is Doing It, So Why Cant We?",Dreams, 22:18,05,12,2022
1, Pearl Jam, Vs. (Expanded Edition),Rearviewmirror, 22:13,05,12,2022
2, Juice WRLD, Goodbye & Good Riddance,End Of The Road, 22:11,05,12,2022
3, The White Stripes, White Blood Cells,Dead Leaves and the Dirty Ground, 22:08,05,12,2022
4," ""Sinéad OConnor""", I Do Not Want What I Havent Got,Nothing Compares 2 U, 22:05,05,12,2022
5, Taylor Swift, 1989,How You Get the Girl, 04:43,05,12,2022
6, Cream, Disraeli Gears,Tales of Brave Ulysses, 04:37,05,12,2022
7, Cream, Disraeli Gears,Sunshine of Your Love, 04:35,05,12,2022
8, Rage Against the Machine, The Battle of Los Angeles,Born of a Broken Man, 04:31,05,12,2022
9, Sublime, 40oz. To Freedom,40oz. To Freedom, 02:58,03,12,2022
10, Rage Against the Machine, Rage Against the Machine,Killing in the Name, 02:52,03,12,2022
11, The Jimi Hendrix Experience, Are You Experienced,Purple Haze, 02:47,03,12,2022
12, Sublime, Sublime,Santeria, 02:44,03,12,2022
13, 2Pac, All Eyez on Me,All Eyez On Me (feat. Big Syke), 02:41,03,12,2022
14, Taylor Swift, Fearless,You Belong with Me, 06:23,01,12,2022
15, Taylor Swift, Fearless,White Horse, 06:19,01,12,2022
16, Taylor Swift, Fearless,Hey Stephen, 06:15,01,12,2022
17, Taylor Swift, Fearless,Love Story, 06:11,01,12,2022
18, Taylor Swift, Fearless,Fifteen, 06:07,01,12,2022
19, Taylor Swift, Fearless,Fearless, 06:02,01,12,2022
20, Lorde, Pure Heroine,Tennis Court, 05:55,01,12,2022
21, Nas, Illmatic,N.Y. State of Mind, 05:53,01,12,2022
22, Cream, Wheels of Fire,White Room, 05:48,01,12,2022
23, Eminem, Encore,Mockingbird, 05:43,01,12,2022
24, Sublime, Sublime,"April 29, 1992 (Miami)", 03:54,30,11,2022
25, Sublime, Sublime,Wrong Way, 06:28,29,11,2022
26, Sublime, Sublime,What I Got, 06:26,29,11,2022
27, Lil Nas X, 7 - EP,Old Town Road (feat. Billy Ray Cyrus) [Remix], 06:19,29,11,2022
28, Taylor Swift, Fearless,Love Story, 05:58,29,11,2022
29, Taylor Swift, Fearless,Fearless, 05:54,29,11,2022
30, Acid Bath, When the Kite String Pops,The Blue, 03:35,29,11,2022
31, Radiohead, OK Computer,The Tourist, 03:29,29,11,2022
32, Radiohead, OK Computer,Lucky, 03:23,29,11,2022
33, Radiohead, OK Computer,No Surprises, 03:18,29,11,2022
34, Radiohead, OK Computer,Climbing Up the Walls, 03:15,29,11,2022
35, Radiohead, OK Computer,Electioneering, 03:10,29,11,2022
36, Radiohead, OK Computer,Fitter Happier, 03:06,29,11,2022
37, Radiohead, OK Computer,Karma Police, 03:05,29,11,2022
38, Radiohead, OK Computer,Let Down, 03:01,29,11,2022
39, Radiohead, OK Computer,Exit Music (for a Film), 02:56,29,11,2022
40, Radiohead, OK Computer,Subterranean Homesick Alien, 02:52,29,11,2022
41, Radiohead, OK Computer,Paranoid Android, 02:43,29,11,2022
42, Radiohead, OK Computer,Airbag, 02:37,29,11,2022
43, 平田志穂子, ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック,Shadow World, 02:32,29,11,2022
44, Soundgarden, Superunknown (20th Anniversary),4th of July, 02:27,29,11,2022
45, Kendrick Lamar," good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe", 02:22,29,11,2022
46, Soundgarden, Superunknown (20th Anniversary),4th of July, 02:22,29,11,2022
47, Kendrick Lamar," good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe", 02:17,29,11,2022
48, Deftones, Around the Fur,Be Quiet and Drive (Far Away), 02:17,29,11,2022
49, Heart, Little Queen,Barracuda, 02:12,29,11,2022
50, Rush, A Farewell To Kings (Remastered),Closer to the Heart, 02:07,29,11,2022
51, Wu-Tang Clan, Enter The Wu-Tang (36 Chambers) [Expanded Edition],"C.R.E.A.M. (Cash Rules Everything Around Me) [feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk]", 02:05,29,11,2022
52, The Smashing Pumpkins, Mellon Collie and the Infinite Sadness (Remastered),Zero, 02:00,29,11,2022
53, Gorillaz, Demon Days,Feel Good Inc., 01:58,29,11,2022
54, Iron Maiden, The Number Of The Beast (Remastered),The Number of the Beast, 01:54,29,11,2022
55, Gorillaz, Demon Days,Feel Good Inc., 01:54,29,11,2022
56, Rage Against the Machine, The Battle of Los Angeles,Born of a Broken Man, 01:49,29,11,2022
57, Red Hot Chili Peppers, Blood Sugar Sex Magik,Under the Bridge, 22:03,28,11,2022
58, Live, Throwing Copper,I Alone, 19:00,28,11,2022
59, Def Leppard, Pyromania,Photograph, 18:56,28,11,2022
60, Sublime, 40oz. To Freedom,40oz. To Freedom, 18:52,28,11,2022
61, Pearl Jam, Ten,Black, 18:49,28,11,2022
62, Radiohead, The Bends,Planet Telex, 07:32,28,11,2022
63, Rage Against the Machine, Rage Against the Machine,Freedom, 07:28,28,11,2022
64, Taylor Swift, 1989,Clean, 07:22,28,11,2022
65, Nas, It Was Written,The Message, 07:17,28,11,2022
66, Lorde, Pure Heroine,Tennis Court, 07:14,28,11,2022
67, Kendrick Lamar, Section.80,A.D.H.D, 07:10,28,11,2022
68, Cat Stevens, Teaser And The Firecat (2021 Remaster),Peace Train, 07:07,28,11,2022
69, Coda, BLOODY STREAM - Single,Bloody Stream, 07:02,28,11,2022
70, Bob Seger & The Silver Bullet Band, The Distance,Roll Me Away, 06:58,28,11,2022
71, Black Sabbath, Master of Reality,Into the Void, 06:53,28,11,2022
72, Blind Melon, Blind Melon,No Rain, 02:24,28,11,2022
73, Soundgarden, Louder Than Love,Loud Love, 02:21,28,11,2022
74, The Jimi Hendrix Experience, Are You Experienced,Hey Joe, 02:16,28,11,2022
75, Nas, It Was Written,If I Ruled the World (Imagine That) [feat. Lauryn Hill], 01:28,28,11,2022
76, Dio, Holy Diver,Stand Up and Shout, 01:23,28,11,2022
77, The Cranberries," Everybody Else Is Doing It, So Why Cant We?",I Still Do, 01:20,28,11,2022
78, Kendrick Lamar, Section.80,HiiiPoWeR, 01:17,28,11,2022
79, GZA/Genius, Liquid Swords,"4th Chamber (feat. RZA, Ghostface Killah & Killah Priest)", 01:12,28,11,2022
80, Deftones, Around the Fur,My Own Summer (Shove It), 01:08,28,11,2022
81, Journey, Evolution,"Lovin', Touchin', Squeezin'", 01:04,28,11,2022
82, Sublime, Sublime,Garden Grove, 00:59,28,11,2022
83, Disturbed, Ten Thousand Fists,Stricken, 00:56,28,11,2022
84, Sublime, Sublime,Santeria, 00:52,28,11,2022
85, Ozzy Osbourne, No More Tears (Bonus Track Version),No More Tears, 00:43,28,11,2022
86, Dusty Springfield, Dusty In Memphis (Deluxe Edition),Son of a Preacher Man, 00:29,28,11,2022
87, Tool," 10,000 Days",Vicarious, 00:27,28,11,2022
88," ""Sinéad OConnor""", I Do Not Want What I Havent Got,Nothing Compares 2 U, 00:22,28,11,2022
89, The Jimi Hendrix Experience, Electric Ladyland,Voodoo Child (Slight Return), 00:14,28,11,2022
90, The Jimi Hendrix Experience, Electric Ladyland,All Along the Watchtower, 00:09,28,11,2022
91, The Jimi Hendrix Experience, Electric Ladyland,House Burning Down, 00:05,28,11,2022
92, Judas Priest, Stained Class (Bonus Track Version),Stained Class, 00:01,28,11,2022
93, Judas Priest, Stained Class (Bonus Track Version),"Better by You, Better Than Me", 23:56,27,11,2022
94, Judas Priest, Stained Class (Bonus Track Version),"White Heat, Red Hot", 23:52,27,11,2022
95, Judas Priest, Stained Class (Bonus Track Version),Exciter, 23:48,27,11,2022
96, Slipknot, Iowa,Iowa, 22:56,27,11,2022
97, Slipknot, Iowa,Metabolic, 22:45,27,11,2022
98, Slipknot, Iowa,New Abortion, 22:41,27,11,2022
99, Slipknot, Iowa,Skin Ticket, 22:37,27,11,2022
100, Slipknot, Iowa,I Am Hated, 22:31,27,11,2022
101, Slipknot, Iowa,The Shape, 22:28,27,11,2022
102, Slipknot, Iowa,Left Behind, 22:24,27,11,2022
103, Slipknot, Iowa,Gently, 22:20,27,11,2022
104, Slipknot, Iowa,The Heretic Anthem, 22:16,27,11,2022
105, Slipknot, Iowa,Everything Ends, 22:11,27,11,2022
106, Slipknot, Iowa,My Plague, 22:07,27,11,2022
107, Slipknot, Iowa,Disasterpiece, 22:03,27,11,2022
108, Slipknot, Iowa,People = Shit, 21:58,27,11,2022
109, Trans-Siberian Orchestra, Beethovens Last Night,Fur Elise, 21:50,27,11,2022
110, Slipknot, Vol. 3 The Subliminal Verses,The Blister Exists, 03:52,26,11,2022
111, Slipknot, Vol. 3 The Subliminal Verses,Prelude 3.0, 03:47,26,11,2022
112, Bob Seger & The Silver Bullet Band, Night Moves,Night Moves, 03:43,26,11,2022
113, 2Pac, All Eyez on Me,All Eyez On Me (feat. Big Syke), 01:29,26,11,2022
114, Nirvana, Bleach,Blew, 01:24,26,11,2022
115, Cream, Disraeli Gears,Tales of Brave Ulysses, 01:21,26,11,2022
116, Nirvana, Nevermind,Lithium, 01:21,26,11,2022
117, Gorillaz, Demon Days,Feel Good Inc., 01:16,26,11,2022
118, Carly Rae Jepsen, Kiss (Deluxe Version),Call Me Maybe, 01:13,26,11,2022
119, Breve & Ludwig van Beethoven," Essentials, Vol. 1","Sonata No. 14 in C-Sharp Minor for Piano, Op. 27, No. 2 Moonlight II. Allegretto", 00:52,26,11,2022
120, Breve & Ludwig van Beethoven," Essentials, Vol. 1",Für Elise, 00:46,26,11,2022
121, Nirvana, In Utero (20th Anniversary Edition),All Apologies, 00:42,26,11,2022
122, Radiohead, Pablo Honey,Anyone Can Play Guitar, 23:46,25,11,2022
123, Radiohead, Pablo Honey,Stop Whispering, 23:42,25,11,2022
124, Radiohead, Pablo Honey,How Do You?, 23:41,25,11,2022
125, Radiohead, Pablo Honey,Creep, 23:41,25,11,2022
126, Radiohead, Pablo Honey,You, 23:41,25,11,2022
127, Coolio, Gangstas Paradise,Gangsta's Paradise (feat. L.V.), 23:25,25,11,2022
128, Juice WRLD, Goodbye & Good Riddance,All Girls Are the Same, 23:18,25,11,2022
129, 2Pac, All Eyez on Me,Ambitionz az a Ridah, 23:15,25,11,2022
130, Carly Rae Jepsen, Kiss (Deluxe Version),Call Me Maybe, 23:07,25,11,2022
131, Carly Rae Jepsen, Kiss (Deluxe Version),Call Me Maybe, 23:04,25,11,2022
132, Radiohead, OK Computer,Let Down, 19:18,25,11,2022
133, Radiohead, OK Computer,Exit Music (for a Film), 19:13,25,11,2022
134, Radiohead, OK Computer,Subterranean Homesick Alien, 18:24,25,11,2022
135, Radiohead, OK Computer,Paranoid Android, 18:20,25,11,2022
136, Radiohead, OK Computer,Airbag, 18:13,25,11,2022
137, Scorpions, In Trance,In Trance, 18:08,25,11,2022
138, The Smashing Pumpkins, Siamese Dream,Quiet, 22:26,23,11,2022
139, The Smashing Pumpkins, Siamese Dream,Cherub Rock, 22:23,23,11,2022
140, Nirvana, In Utero (20th Anniversary Edition),All Apologies, 20:23,23,11,2022
141, Tool," 10,000 Days",Vicarious, 20:19,23,11,2022
142, Ramones, Animal Boy,Bonzo Goes to Bitburg, 20:00,23,11,2022
143, Eagles, Hotel California,Hotel California, 19:56,23,11,2022
144, Heart, Dreamboat Annie,Crazy on You, 07:49,23,11,2022
145, Rage Against the Machine, Rage Against the Machine,Freedom, 07:44,23,11,2022
146, The Jimi Hendrix Experience, Are You Experienced,The Wind Cries Mary, 07:37,23,11,2022
147, Radiohead, Pablo Honey,You, 07:33,23,11,2022
148, Slipknot, Iowa,Skin Ticket, 03:45,23,11,2022
149, Slipknot, Iowa,I Am Hated, 03:38,23,11,2022
150, Slipknot, Iowa,The Shape, 03:35,23,11,2022
151, Slipknot, Iowa,Left Behind, 03:32,23,11,2022
152, Slipknot, Iowa,Gently, 03:28,23,11,2022
153, Tool," 10,000 Days",Lost Keys (Blame Hofmann), 03:17,23,11,2022
154, Tool," 10,000 Days",Lipan Conjuring, 03:16,23,11,2022
155, Tool," 10,000 Days",The Pot, 03:16,23,11,2022
156, Tool," 10,000 Days","10,000 Days (Wings, Pt. 2)", 03:08,23,11,2022
157, Tool," 10,000 Days","Wings for Marie, Pt. 1", 03:07,23,11,2022
158, Tool," 10,000 Days",Jambi, 03:01,23,11,2022
159, Tool," 10,000 Days",Vicarious, 02:52,23,11,2022
160, Beastie Boys, Licensed to Ill,Rhymin' & Stealin', 02:39,23,11,2022
161, Melvins, Houdini,Hooch, 02:35,23,11,2022
162, Nas, It Was Written,If I Ruled the World (Imagine That) [feat. Lauryn Hill], 02:32,23,11,2022
163, Sublime, 40oz. To Freedom,40oz. To Freedom, 02:27,23,11,2022
164, Yoko Takahashi, Neon Genesis Evangelion (Original Series Soundtrack),A Cruel Angel's Thesis (Director's Edit Version), 02:24,23,11,2022
165, Disturbed, The Sickness,Down With the Sickness, 02:20,23,11,2022
166, Kendrick Lamar," good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe", 02:16,23,11,2022
167, Kendrick Lamar," good kid, m.A.A.d city",Sherane a.k.a Master Splinter’s Daughter, 02:11,23,11,2022
168, Kendrick Lamar, Section.80,HiiiPoWeR, 02:02,23,11,2022
169, Kendrick Lamar, Section.80,Ab-Souls Outro (feat. Ab-Soul), 01:56,23,11,2022
170, Kendrick Lamar, Section.80,Blow My High (Members Only), 01:54,23,11,2022
171, Kendrick Lamar, Section.80,Kush & Corinthians (feat. BJ The Chicago Kid), 01:50,23,11,2022
172, Kendrick Lamar, Section.80,Rigamortus, 01:45,23,11,2022
173, Kendrick Lamar, Section.80,Keisha's Song (Her Pain) [feat. Ashtro Bot], 01:42,23,11,2022
174, Kendrick Lamar, Section.80,Chapter Ten, 01:38,23,11,2022
175, Kendrick Lamar, Section.80,Poe Mans Dreams (His Vice) [feat. GLC], 01:36,23,11,2022
176, Kendrick Lamar, Section.80,Ronald Reagan Era, 01:31,23,11,2022
177, Kendrick Lamar, Section.80,Chapter Six, 01:13,23,11,2022
178, Kendrick Lamar, Section.80,Tammy's Song (Her Evils), 01:10,23,11,2022
179, Kendrick Lamar, Section.80,No Make-Up (Her Vice) [feat. Colin Munroe], 01:07,23,11,2022
180, Kendrick Lamar, Section.80,A.D.H.D, 01:03,23,11,2022
181, Kendrick Lamar, Section.80,Hol' Up, 00:56,23,11,2022
182, Kendrick Lamar, Section.80,F*ck Your Ethnicity, 00:53,23,11,2022
183," ""Sinéad OConnor""", I Do Not Want What I Havent Got,Nothing Compares 2 U, 23:22,22,11,2022
184, Iron Maiden, The Number Of The Beast (Remastered),The Number of the Beast, 23:03,22,11,2022
185, Deftones, Around the Fur,My Own Summer (Shove It), 22:58,22,11,2022
186, Slipknot, Vol. 3 The Subliminal Verses,Duality, 22:55,22,11,2022
187, The Jimi Hendrix Experience, Are You Experienced,Hey Joe, 22:50,22,11,2022
188, Scorpions, In Trance,In Trance, 22:47,22,11,2022
189, Pearl Jam, Ten,Jeremy, 22:31,22,11,2022
190, Marvin Gaye, Whats Going On,What's Going On, 22:25,22,11,2022
191, Metallica, Ride The Lightning (Remastered),For Whom the Bell Tolls, 22:22,22,11,2022
192, Led Zeppelin, Led Zeppelin (Remastered),How Many More Times, 23:06,21,11,2022
193, Frank Sinatra, Thats Life,That's Life, 22:57,21,11,2022
194, Radiohead, OK Computer,Paranoid Android, 22:54,21,11,2022
195, Cream, Disraeli Gears,Tales of Brave Ulysses, 22:27,21,11,2022
196, The Jimi Hendrix Experience, Electric Ladyland,Voodoo Child (Slight Return), 22:24,21,11,2022
197, Bob Seger & The Silver Bullet Band, The Distance,Roll Me Away, 08:00,21,11,2022
198, Sublime, Sublime,Garden Grove, 07:22,21,11,2022
199, Taylor Swift, 1989,Clean, 07:18,21,11,2022
200, Bob Seger & The Silver Bullet Band, Night Moves,Night Moves, 07:13,21,11,2022
201, Norman Greenbaum, Spirit in the Sky,Spirit in the Sky, 07:08,21,11,2022
202, Jim Croce, I Got A Name,I Got A Name (Stereo Version), 07:02,21,11,2022
203, Jim Croce, Life & Times,"Bad, Bad Leroy Brown", 06:58,21,11,2022
204, Mother Love Bone, Mother Love Bone,Stargazer, 06:55,21,11,2022
205, The Cranberries," Everybody Else Is Doing It, So Why Cant We?",Dreams, 06:47,21,11,2022
206, Rage Against the Machine, Rage Against the Machine,Freedom, 06:42,21,11,2022
207, Radiohead, The Bends,Fake Plastic Trees, 06:36,21,11,2022
208, Taylor Swift, 1989,This Love, 05:20,21,11,2022
209, Gorillaz, Demon Days,Feel Good Inc., 05:15,21,11,2022
210, Scorpions, In Trance,In Trance, 05:11,21,11,2022
211, Lynyrd Skynyrd, Pronounced Leh-Nerd Skin-Nerd,Tuesday's Gone, 00:15,21,11,2022
212, Kanye West, Graduation,Good Life (feat. T-Pain), 00:08,21,11,2022
213, Def Leppard, Pyromania,Photograph, 00:04,21,11,2022
214, Scorpions, Blackout,No One Like You, 00:00,21,11,2022
215, Cream, Wheels of Fire,White Room, 22:51,20,11,2022
216, Soundgarden, Louder Than Love,Loud Love, 22:46,20,11,2022
217, Soundgarden, Louder Than Love,Loud Love, 22:41,20,11,2022
218, MF DOOM, Operation Doomsday,"Tick, Tick (Feat. MF Grimm)", 22:41,20,11,2022
219, Live, Throwing Copper,I Alone, 22:36,20,11,2022
220, Dusty Springfield, Dusty In Memphis (Deluxe Edition),Son of a Preacher Man, 22:33,20,11,2022
221, Led Zeppelin, Houses of the Holy (Remastered),Over the Hills and Far Away, 22:30,20,11,2022
222, Pearl Jam, Ten,Black, 21:28,20,11,2022
223, Taylor Swift, Fearless,Love Story, 04:14,20,11,2022
224, Taylor Swift, Fearless,Fearless, 04:09,20,11,2022
225, Sublime, 40oz. To Freedom,40oz. To Freedom, 20:55,19,11,2022
226, Kendrick Lamar, Section.80,A.D.H.D, 20:52,19,11,2022
227, Radiohead, Pablo Honey,You, 20:48,19,11,2022
228, Lorde, Pure Heroine,Tennis Court, 20:41,19,11,2022
229, Kendrick Lamar, Section.80,HiiiPoWeR, 19:03,18,11,2022
230, Marvin Gaye, Whats Going On,What's Going On, 18:47,18,11,2022
231, The White Stripes, White Blood Cells,Dead Leaves and the Dirty Ground, 18:43,18,11,2022
232, Tool," 10,000 Days",The Pot, 18:40,18,11,2022
233, Slayer, Seasons in the Abyss,Seasons In The Abyss, 04:07,18,11,2022
234, The Jimi Hendrix Experience, Electric Ladyland,All Along the Watchtower, 04:01,18,11,2022
235, Taylor Swift, 1989,How You Get the Girl, 03:56,18,11,2022
236, Sublime, Sublime,Wrong Way, 03:52,18,11,2022
237, Lil Nas X, 7 - EP,Old Town Road (feat. Billy Ray Cyrus) [Remix], 07:33,17,11,2022
238, Vektor, Terminal Redux,Mountains Above the Sun, 07:30,17,11,2022
239, Vektor, Terminal Redux,LCD (Liquid Crystal Disease), 06:52,17,11,2022
240, Vektor, Terminal Redux,Cygnus Terminal, 06:44,17,11,2022
241, Vektor, Terminal Redux,Charging the Void, 06:36,17,11,2022
242, Sublime, 40oz. To Freedom,Badfish, 05:38,17,11,2022
243, Sublime, 40oz. To Freedom,5446 Thats My Number / Ball and Chain, 05:35,17,11,2022
244, Sublime, 40oz. To Freedom,Don't Push, 05:29,17,11,2022
245, Sublime, 40oz. To Freedom,We're Only Gonna Die for Our Arrogance, 05:25,17,11,2022
246, Sublime, 40oz. To Freedom,Smoke Two Joints, 05:22,17,11,2022
247, Sublime, 40oz. To Freedom,40oz. To Freedom, 05:18,17,11,2022
248, Sublime, 40oz. To Freedom,Waiting For My Ruca, 05:15,17,11,2022
249, The Jimi Hendrix Experience, Electric Ladyland,All Along the Watchtower, 22:33,16,11,2022
250, Jim Croce, I Got A Name,I Got A Name (Stereo Version), 22:29,16,11,2022
251, Jethro Tull, Aqualung (1996 Bonus Tracks Edition),Aqualung, 22:26,16,11,2022
252, Heart, Little Queen,Barracuda, 05:16,16,11,2022
253, Taylor Swift, Fearless,Love Story, 05:11,16,11,2022
254, The Jimi Hendrix Experience, Are You Experienced,The Wind Cries Mary, 05:07,16,11,2022
255, Soundgarden, Louder Than Love,Loud Love, 05:03,16,11,2022
256, Kendrick Lamar, DAMN.,PRIDE., 04:58,16,11,2022
257, Judas Priest, Sin After Sin (Bonus Track Version),Dissident Aggressor, 04:54,16,11,2022
258, The Jimi Hendrix Experience, Are You Experienced,Purple Haze, 04:50,16,11,2022
259, Cream, Wheels of Fire,White Room, 04:48,16,11,2022
260, Norman Greenbaum, Spirit in the Sky,Spirit in the Sky, 04:26,16,11,2022
261, Van Halen, 1984,Hot for Teacher, 04:22,16,11,2022
262, The Killers, Sams Town,When You Were Young, 04:18,16,11,2022
263, Radiohead, Kid A,The National Anthem, 04:14,16,11,2022
264, Coolio, Gangstas Paradise,Gangsta's Paradise (feat. L.V.), 04:08,16,11,2022
265, Mother Love Bone, Mother Love Bone,Stargazer, 04:04,16,11,2022
266, The Cranberries," Everybody Else Is Doing It, So Why Cant We?",Dreams, 03:59,16,11,2022
267, Sublime, Sublime,Garden Grove, 03:54,16,11,2022
268, Scorpions, Blackout,No One Like You, 03:50,16,11,2022
269, Radiohead, Pablo Honey,You, 03:46,16,11,2022
270, Cream, Disraeli Gears,Sunshine of Your Love, 03:43,16,11,2022
271, Radiohead, The Bends,Planet Telex, 03:38,16,11,2022
272, Soundgarden, Louder Than Love,Loud Love, 03:35,16,11,2022
273, King Crimson, In the Court of the Crimson King (Expanded Edition),"21st Century Schizoid Man (including ""Mirrors"")", 03:21,16,11,2022
274, Metallica, Ride The Lightning (Remastered),For Whom the Bell Tolls, 03:14,16,11,2022
275, Taylor Swift, Fearless,Love Story, 03:08,16,11,2022
276, The Goo Goo Dolls, A Boy Named Goo,Name, 03:04,16,11,2022
277, GZA/Genius, Liquid Swords,"4th Chamber (feat. RZA, Ghostface Killah & Killah Priest)", 03:00,16,11,2022
278, Judas Priest, Sin After Sin (Bonus Track Version),Dissident Aggressor, 02:55,16,11,2022
279, my bloody valentine, Loveless,Only Shallow, 02:52,16,11,2022
280, Sublime, Sublime,Santeria, 02:48,16,11,2022
281, Taylor Swift, 1989,Clean, 02:45,16,11,2022
282, Taylor Swift, 1989,Clean, 02:40,16,11,2022
283, Dusty Springfield, Dusty In Memphis (Deluxe Edition),Son of a Preacher Man, 02:39,16,11,2022
284, Radiohead, Pablo Honey,You, 06:40,15,11,2022
285, Bob Seger & The Silver Bullet Band, Against the Wind,Against the Wind, 06:37,15,11,2022
286, Pearl Jam, Ten,Black, 06:31,15,11,2022
287, Pearl Jam, Ten,Black, 06:25,15,11,2022
288, Juice WRLD, Goodbye & Good Riddance,I'll Be Fine, 06:25,15,11,2022
289, Disturbed, Ten Thousand Fists,Stricken, 22:35,14,11,2022
290, Disturbed, Ten Thousand Fists,Stricken, 22:31,14,11,2022
291, Disturbed, Ten Thousand Fists,Stricken, 22:26,14,11,2022
292, Wu-Tang Clan, Enter The Wu-Tang (36 Chambers) [Expanded Edition],"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)", 22:25,14,11,2022
293, The Smashing Pumpkins, Mellon Collie and the Infinite Sadness (Remastered),"Tonight, Tonight", 22:21,13,11,2022
294, Judas Priest, Stained Class (Bonus Track Version),"Better by You, Better Than Me", 22:17,13,11,2022
295, Eagles, Hotel California,Hotel California, 22:14,13,11,2022
296, Taylor Swift, Fearless,Love Story, 23:21,12,11,2022
297, Taylor Swift, Fearless,Love Story, 23:17,12,11,2022
298, Taylor Swift, Fearless,Love Story, 23:13,12,11,2022
299, Van Halen, Van Halen,Ain't Talkin' 'Bout Love, 22:29,12,11,2022
300, The Jimi Hendrix Experience, Are You Experienced,Manic Depression, 21:54,12,11,2022
301, MF DOOM, Operation Doomsday,"Tick, Tick (Feat. MF Grimm)", 21:48,12,11,2022
302, Iron Maiden, Somewhere In Time (2015 Remastered Edition),Caught Somewhere In Time (2015 Remastered Version), 21:44,12,11,2022
303, Rage Against the Machine, Rage Against the Machine,Freedom, 21:36,12,11,2022
304, GZA/Genius, Liquid Swords,"4th Chamber (feat. RZA, Ghostface Killah & Killah Priest)", 21:30,12,11,2022
305, Nas, It Was Written,If I Ruled the World (Imagine That) [feat. Lauryn Hill], 00:57,12,11,2022
306, Kendrick Lamar, DAMN.,PRIDE., 00:33,12,11,2022
307, Cat Stevens, Teaser And The Firecat (2021 Remaster),Peace Train, 00:29,12,11,2022
308, Nas, Illmatic,N.Y. State of Mind, 00:24,12,11,2022
309, Def Leppard, Pyromania,Photograph, 00:19,12,11,2022
310," ""Sinéad OConnor""", I Do Not Want What I Havent Got,Nothing Compares 2 U, 00:11,12,11,2022
311, Jim Croce, I Got A Name,I Got A Name (Stereo Version), 00:07,12,11,2022
312, The Jimi Hendrix Experience, Electric Ladyland,Voodoo Child (Slight Return), 23:28,11,11,2022
313, Boston, Boston,Foreplay / Long Time, 23:23,11,11,2022
314, Heart, Dreamboat Annie,Magic Man, 18:09,11,11,2022
315, Sublime, 40oz. To Freedom,40oz. To Freedom, 18:03,11,11,2022
316, Radiohead, OK Computer,Airbag, 18:24,10,11,2022
317, Black Sabbath, Heaven and Hell,Heaven and Hell, 18:19,10,11,2022
318, Heart, Little Queen,Barracuda, 18:12,10,11,2022
319, Dio, The Last in Line (remastered),The Last In Line, 22:29,09,11,2022
320, The Goo Goo Dolls, A Boy Named Goo,Name, 22:19,09,11,2022
